language	concern
angular	coding-style
angular	hooks
angular	patterns
angular	security
angular	testing
arkts	coding-style
arkts	hooks
arkts	patterns
arkts	security
arkts	testing
common	agents
common	code-review
common	coding-style
common	development-workflow
common	git-workflow
common	hooks
common	patterns
common	performance
common	security
common	testing
cpp	coding-style
cpp	hooks
cpp	patterns
cpp	security
cpp	testing
csharp	coding-style
csharp	hooks
csharp	patterns
csharp	security
csharp	testing
dart	coding-style
dart	hooks
dart	patterns
dart	security
dart	testing
fsharp	coding-style
fsharp	hooks
fsharp	patterns
fsharp	security
fsharp	testing
golang	coding-style
golang	hooks
golang	patterns
golang	security
golang	testing
java	coding-style
java	hooks
java	patterns
java	security
java	testing
kotlin	coding-style
kotlin	hooks
kotlin	patterns
kotlin	security
kotlin	testing
nuxt	coding-style
nuxt	hooks
nuxt	patterns
nuxt	security
nuxt	testing
perl	coding-style
perl	hooks
perl	patterns
perl	security
perl	testing
php	coding-style
php	hooks
php	patterns
php	security
php	testing
python	coding-style
python	fastapi
python	hooks
python	patterns
python	security
python	testing
react	coding-style
react	hooks
react	patterns
react	security
react	testing
ruby	coding-style
ruby	hooks
ruby	patterns
ruby	security
ruby	testing
rust	coding-style
rust	hooks
rust	patterns
rust	security
rust	testing
swift	coding-style
swift	hooks
swift	patterns
swift	security
swift	testing
typescript	coding-style
typescript	hooks
typescript	patterns
typescript	security
typescript	testing
vue	coding-style
vue	hooks
vue	patterns
vue	security
vue	testing
web	coding-style
web	design-quality
web	hooks
web	patterns
web	performance
web	security
web	testing
